Project Name,contract,logo_link,Group,M1,M3,M2,Holder_1,Seller_1,Buyer_1,n_holder,Holder,Seller,Buyer
MURI by Haus,0x4b61413d4392c806e6d0ff5ee91e6073c21d6430,https://lh3.googleusercontent.com/OPgdc2e-yuBEMeyS8ttfl8cINQ5amQofP0xS4wWj59bWyUUo84A4g-WaulcpghyQCde1mQh88XABNHWjT9MRhPo34-QF50bdYQZa=s120,4,0.590067606,0.221,0.679,0.956102362,0.025787402,0.018110236,25,0.111492323,0.664808015,0.223699662
Mutant Ape Yacht Club,0x60e4d786628fea6478f785a6d7e704777c86a7c6,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s130,3,0.369040811,0.305,0.024,0.955749718,0.019306652,0.02494363,14,0.209948869,0.279015029,0.511036102
My Pet Hooligan,0x09233d553058c2f42ba751c87816a8e9fae7ef10,https://lh3.googleusercontent.com/cdJmA0q7yBVaohfUK7AU1q7ZpeBiC5wt4nh6wRFmpQbGcYM260IP9NFPErTJs-Va0Z8x02EHEH-0wUdydBGZY2yj4akcFk0UjvAjaw=s120,5,0.782460853,0.437,0.362,0.958024691,0.027434842,0.014540466,36,0.315333683,0.416636252,0.268030065
NAH Fungible Bones,0x0ee24c748445fb48028a74b0ccb6b46d7d3e3b33,https://lh3.googleusercontent.com/faXz0s6roikhZxU2XScsxECiRnFuuWbPHBAb3mPJrIJuNNB2GPLoAhBHkaPgbwCsAd7ObywHtYQ20nicc7dpl88-Kfj_L458CMgb2Q=s130,3,5.51E-07,0.795,0.237,0.927458834,0.041388518,0.031152648,87,0.198225353,0.410733881,0.391040766
PhantaBear,0x67d9417c9c3c250f61a83c7e8658dac487b56b09,https://lh3.googleusercontent.com/1wTnxFx6paNeV1lv_ht10OFpDucUhg-fL6IZbPrai3Jf_3pHS5dSazhpU_UBn2BVQBUEffYAeoo2iVbCu9LPeUDhmwZwt_7J4xpdrQ=s120,5,0.677491235,0.707,0.338,0.915027537,0.047600315,0.037372148,42,0.073531582,0.327173068,0.599295351
Prime Ape Planet PAP,0x6632a9d63e142f17a668064d41a21193b49b41a0,https://lh3.googleusercontent.com/Elp_bWKH4be7BFwUbM84JhRgggPwP1XM1akHPJsTksP88BJoY9NWt2ECMZpY-rI3l9wrNUFdekGVC7-6i4vn4Al4f9iQt4JgZ6Mgxw=s120,5,0.889691018,0.403,0.09,0.952278436,0.030857553,0.016864011,15,0.753196482,0.140279387,0.106524131
Psychedelics Anonymous Genesis,0x75e95ba5997eb235f40ecf8347cdb11f18ff640b,https://lh3.googleusercontent.com/lgtTOxFxyk-IpOEZSbanzXxvnmtE2x1EhAvd79xCEzn7GkDJ3sAt7CzZNukX7u9cfR4dyy-eLiYfLc2W81iS6YS3CLj8w7hwtGvZxA=s120,5,0.858972424,0.779,0.632,0.686170213,0.165780142,0.148049645,27,0.050001985,0.048798731,0.901199284
Pudgy Penguins,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,https://static.nftgo.io/asset/1661152546740.png,0,0.278890603,0.212,0.92,0.97924773,0.003170486,0.017581784,54,0.273664697,0.496637067,0.229698236
Quirkies Originals,0x3903d4ffaaa700b62578a66e7a67ba4cb67787f9,https://lh3.googleusercontent.com/XS6RqsT7CBpoeX8vUmWkJYldMV6h0Ko7TpagNgFZ-nEh4yrMZFrpY4gtBqyuRDJV6mx2B0ssYxoh9Z9XlO770Xe8FNSu-kj-1EVzMQ=s120,1,0.306714607,0.965,0.907,0.945826104,0.036244457,0.017929439,20,0.00389963,0.602090291,0.394010079
RENGA,0x394e3d3044fc89fcdd966d3cb35ac0b32b0cda91,https://openseauserdata.com/files/f3b11e36be14a5d31c75b19d03996fed.gif,2,0.392947672,0.144,0.165,0.943383356,0.036834925,0.019781719,91,0.738815701,0.126012682,0.135171618
